tahun,latitude,longitude,nama_provinsi,nama_kabupaten_kota,nama_kelurahan,nama_kecamatan,jumlaluas_wilayah,jumlah_kepadatanjiwakm2
2017,-6.269787,106.7759,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pondok pinang,KEBAYORAN LAMA,6.84,931.38
2017,-6.210919,106.789311,PROVINSI DKI JAKARTA,JAKARTA SELATAN,grogol utara,KEBAYORAN LAMA,3.33,14999.1
NA,-6.241941,106.781189,NA,NA,keb. lama utara,NA,NA,NA
2017,-6.23038,106.783449,PROVINSI DKI JAKARTA,JAKARTA SELATAN,grogol selatan,KEBAYORAN LAMA,0.29,177591.62
2017,-6.239276,106.776349,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cipulir,KEBAYORAN LAMA,1.93,23622.35
2017,-6.240066,106.788669,PROVINSI DKI JAKARTA,JAKARTA SELATAN,gunung,KEBAYORAN BARU,1.32,811.36
2017,-6.228791,106.811256,PROVINSI DKI JAKARTA,JAKARTA SELATAN,senayan,KEBAYORAN BARU,1.53,2339.65
2017,-6.238151,106.816269,PROVINSI DKI JAKARTA,JAKARTA SELATAN,rawa barat,KEBAYORAN BARU,0.69,9351.53
2017,-6.248446,106.802731,PROVINSI DKI JAKARTA,JAKARTA SELATAN,melawai,KEBAYORAN BARU,1.25,2578.17
2017,-6.262733,106.803077,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cipete utara,KEBAYORAN BARU,1.83,21639.45
2017,-6.257229,106.787984,PROVINSI DKI JAKARTA,JAKARTA SELATAN,gandaria utara,KEBAYORAN BARU,1.52,30067.7
2017,-6.24418,106.813833,PROVINSI DKI JAKARTA,JAKARTA SELATAN,petogogan,KEBAYORAN BARU,0.86,1575.64
2017,-6.234648,106.788375,PROVINSI DKI JAKARTA,JAKARTA SELATAN,gunung,KEBAYORAN BARU,1.32,811.36
NA,-6.250743,106.809864,NA,NA,pulo ,NA,NA,NA
2017,-6.231998,106.814323,PROVINSI DKI JAKARTA,JAKARTA SELATAN,selong,KEBAYORAN BARU,1.4,2462.86
NA,-6.244897,106.790612,NA,NA,kramat pela ,NA,NA,NA
2017,-6.257046,106.756853,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pesanggrahan,PESANGGRAHAN,2.1,1493.8
2017,-6.257105,106.757164,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pesanggrahan,PESANGGRAHAN,2.1,1493.8
2017,-6.273001,106.764721,PROVINSI DKI JAKARTA,JAKARTA SELATAN,bintaro,PESANGGRAHAN,4.56,12983.53
